Dataset,PatternCategory,QueryFile,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
wiki,small_sparse,query_sparse_8_1.graph,1,N/A,N/A,N/A,0,TIMEOUT,"Query exceeded 900s limit"
wiki,small_sparse,query_sparse_8_1.graph,4,N/A,N/A,N/A,0,TIMEOUT,"Query exceeded 900s limit"
wiki,small_sparse,query_sparse_8_1.graph,8,N/A,N/A,N/A,0,TIMEOUT,"Query exceeded 900s limit"
